Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
SA-F-0031,South Africa,Power & Batteries,Portable Power Bank 20K,483.75,ZAR,"20000mAh, dual USB, 18W PD",Fulfilled from NL depot | Nordic Wholesale | Margin 22%
FR-G-0032,France,Power & Batteries,Portable Power Bank 20K,24.24,EUR,"20000mAh, dual USB, 18W PD",Warehouse A-12 | Pacific Imports Inc | Promo margin 12%
GH-H-0033,Ghana,Kitchen Appliances,Coffee Maker Drip,495.84,GHS,"12-cup, programmable, thermal carafe",Low stock alert | Nordic Wholesale | VIP margin 25%
FR-I-0034,France,Kitchen Appliances,Coffee Maker Drip,39.52,EUR,"12-cup, programmable, thermal carafe",Africa Direct Trading | Target margin 18% | Low stock alert
CD-J-0035,Côte d'Ivoire,Lighting,LED Desk Lamp,18854.44,XOF,"Dimmable, USB port, 5 brightness levels",Pacific Imports Inc | Stock in WH3 Berlin | Target margin 18%
NI-K-0036,Nigeria,Home Appliances,Air Purifier Compact,155692.18,NGN,"HEPA H13, 3 speeds, 25m² coverage",Warehouse A-12 | Acme Electronics Ltd | Margin 22%
NI-L-0037,Nigeria,Computing,Webcam HD Pro,92891.34,NGN,"1080p 60fps, built-in mic, auto-focus",Margin 22% | Pacific Imports Inc | Warehouse A-12
CA-M-0038,Canada,TV & Display,LED TV 55 inch,653.21,CAD,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Warehouse A-12 | EuroTech Suppliers | Bulk discount applies 15%
SA-N-0039,South Africa,Audio,Wireless Bluetooth Earbuds,650.83,ZAR,"ANC, 24h battery, IPX5, USB-C",Warehouse A-12 | Margin 22% | Africa Direct Trading
US-O-0040,United States,Audio,Wireless Bluetooth Earbuds,35.52,USD,"ANC, 24h battery, IPX5, USB-C",VIP margin 25% | Fulfilled from NL depot | Pacific Imports Inc
KE-P-0041,Kenya,Computing,Mechanical Keyboard,9794.38,KES,"Cherry MX, RGB, wired, UK layout",Fulfilled from NL depot | Target margin 18% | Africa Direct Trading
GH-Q-0042,Ghana,Personal Care,Electric Toothbrush,552.33,GHS,"Sonic, 3 modes, 2-week battery",Warehouse A-12 | Target margin 18% | Africa Direct Trading
GH-R-0043,Ghana,Personal Care,Electric Toothbrush,559.32,GHS,"Sonic, 3 modes, 2-week battery",Warehouse A-12 | Global Sourcing Co | Promo margin 12%
UK-S-0044,United Kingdom,Home Appliances,Air Purifier Compact,82.66,GBP,"HEPA H13, 3 speeds, 25m² coverage",Target margin 18% | Pacific Imports Inc | Fulfilled from NL depot
US-T-0045,United States,Kitchen Appliances,Coffee Maker Drip,38.02,USD,"12-cup, programmable, thermal carafe",Promo margin 12% | Acme Electronics Ltd | Low stock alert
CD-U-0046,Côte d'Ivoire,Home Appliances,Air Purifier Compact,59543.27,XOF,"HEPA H13, 3 speeds, 25m² coverage",Warehouse A-12 | Global Sourcing Co | Margin 22%
SA-V-0047,South Africa,Solar & Power,Solar Inverter TS-9000-X,20569.73,ZAR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Pacific Imports Inc | Margin 22% | Fulfilled from NL depot
GH-W-0048,Ghana,Wearables,Fitness Tracker Band,353.02,GHS,"Steps, sleep, HR, 14-day battery",Fulfilled from NL depot | VIP margin 25% | Africa Direct Trading
GE-X-0049,Germany,Lighting,LED Desk Lamp,25.53,EUR,"Dimmable, USB port, 5 brightness levels",Margin 22% | Africa Direct Trading | Low stock alert
NE-Y-0050,Netherlands,TV & Display,LED TV 55 inch,463.74,EUR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Margin 22% | Acme Electronics Ltd | Stock in WH3 Berlin
NI-Z-0051,Nigeria,Computing,Mechanical Keyboard,114958.27,NGN,"Cherry MX, RGB, wired, UK layout",EuroTech Suppliers | Fulfilled from NL depot | Margin 22%
FR-A-0052,France,Computing,Webcam HD Pro,51.22,EUR,"1080p 60fps, built-in mic, auto-focus",Backorder until 02/15 | Bulk discount applies 15% | Pacific Imports Inc
SA-B-0053,South Africa,Solar & Power,Solar Inverter TS-9000-X,23001.32,ZAR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Bulk discount applies 15% | Fulfilled from NL depot | Nordic Wholesale
FR-C-0054,France,Personal Care,Electric Toothbrush,41.93,EUR,"Sonic, 3 modes, 2-week battery",VIP margin 25% | Low stock alert | Africa Direct Trading
NI-D-0055,Nigeria,Computing,Mechanical Keyboard,116046.97,NGN,"Cherry MX, RGB, wired, UK layout",Promo margin 12% | Fulfilled from NL depot | Global Sourcing Co
GE-E-0056,Germany,Audio,Wireless Bluetooth Earbuds,36.27,EUR,"ANC, 24h battery, IPX5, USB-C",Fulfilled from NL depot | Target margin 18% | Africa Direct Trading
CA-F-0057,Canada,Wearables,Fitness Tracker Band,44.09,CAD,"Steps, sleep, HR, 14-day battery",EuroTech Suppliers | Fulfilled from NL depot | Bulk discount applies 15%
GH-G-0058,Ghana,TV & Display,LED TV 55 inch,5692.66,GHS,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Margin 22% | Backorder until 02/15 | Nordic Wholesale
GH-H-0059,Ghana,Audio,Wireless Bluetooth Earbuds,427.77,GHS,"ANC, 24h battery, IPX5, USB-C",Margin 22% | Global Sourcing Co | Warehouse A-12
KE-I-0060,Kenya,Computing,Mechanical Keyboard,10730.34,KES,"Cherry MX, RGB, wired, UK layout",Global Sourcing Co | Backorder until 02/15 | VIP margin 25%
NE-J-0061,Netherlands,Lighting,LED Desk Lamp,25.2,EUR,"Dimmable, USB port, 5 brightness levels",Acme Electronics Ltd | Target margin 18% | Fulfilled from NL depot
KE-K-0062,Kenya,Wearables,Fitness Tracker Band,3767.77,KES,"Steps, sleep, HR, 14-day battery",EuroTech Suppliers | Low stock alert | Promo margin 12%
UK-L-0063,United Kingdom,Computing,Mechanical Keyboard,60.45,GBP,"Cherry MX, RGB, wired, UK layout",Global Sourcing Co | Promo margin 12% | Low stock alert
US-M-0064,United States,Computing,"Tablet 10""",225.54,USD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Warehouse A-12 | Africa Direct Trading | Margin 22%
GH-N-0065,Ghana,Computing,Mechanical Keyboard,1074.7,GHS,"Cherry MX, RGB, wired, UK layout",Fulfilled from NL depot | Promo margin 12% | Nordic Wholesale
FR-O-0066,France,Computing,Webcam HD Pro,56.71,EUR,"1080p 60fps, built-in mic, auto-focus",Global Sourcing Co | Margin 22% | Low stock alert
SA-P-0067,South Africa,Wearables,Smart Watch Sport,1522.51,ZAR,"GPS, heart rate, 5ATM, 7-day battery",Pacific Imports Inc | VIP margin 25% | Backorder until 02/15
CA-Q-0068,Canada,Wearables,Smart Watch Sport,136.17,CAD,"GPS, heart rate, 5ATM, 7-day battery",Fulfilled from NL depot | Bulk discount applies 15% | Pacific Imports Inc
SA-R-0069,South Africa,Computing,Webcam HD Pro,1043.79,ZAR,"1080p 60fps, built-in mic, auto-focus",Acme Electronics Ltd | Promo margin 12% | Low stock alert
GH-S-0070,Ghana,Kitchen Appliances,Smart Kettle Pro,551.45,GHS,"1.7L, 3000W, boil-dry protection, LED display",Acme Electronics Ltd | VIP margin 25% | Stock in WH3 Berlin
US-T-0071,United States,Wearables,Fitness Tracker Band,29.07,USD,"Steps, sleep, HR, 14-day battery",Margin 22% | Global Sourcing Co | Backorder until 02/15
NI-U-0072,Nigeria,Audio,Bluetooth Speaker,77298.83,NGN,"20W, waterproof IPX7, 15h playback",Target margin 18% | Acme Electronics Ltd | Fulfilled from NL depot
GH-V-0073,Ghana,Computing,"Tablet 10""",2656.84,GHS,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Stock in WH3 Berlin | VIP margin 25% | Global Sourcing Co
UK-W-0074,United Kingdom,Computing,Mechanical Keyboard,65.4,GBP,"Cherry MX, RGB, wired, UK layout",Margin 22% | Africa Direct Trading | Low stock alert
KE-X-0075,Kenya,Power & Batteries,Portable Power Bank 20K,3557.19,KES,"20000mAh, dual USB, 18W PD",Margin 22% | Acme Electronics Ltd | Backorder until 02/15
UK-Y-0076,United Kingdom,Kitchen Appliances,Coffee Maker Drip,30.89,GBP,"12-cup, programmable, thermal carafe",Low stock alert | Global Sourcing Co | Margin 22%
CD-Z-0077,Côte d'Ivoire,Lighting,LED Desk Lamp,16417.77,XOF,"Dimmable, USB port, 5 brightness levels",Stock in WH3 Berlin | Africa Direct Trading | Promo margin 12%
US-A-0078,United States,Computing,Webcam HD Pro,53.09,USD,"1080p 60fps, built-in mic, auto-focus",Africa Direct Trading | Target margin 18% | Low stock alert
GE-B-0079,Germany,Home Appliances,Electric Fan Tower,50.47,EUR,"Oscillating, 3 speeds, remote, timer",VIP margin 25% | Low stock alert | Nordic Wholesale
US-C-0080,United States,Wearables,Smart Watch Sport,99.02,USD,"GPS, heart rate, 5ATM, 7-day battery",Acme Electronics Ltd | Warehouse A-12 | Promo margin 12%
FR-D-0081,France,Home Appliances,Electric Fan Tower,53.14,EUR,"Oscillating, 3 speeds, remote, timer",Promo margin 12% | EuroTech Suppliers | Warehouse A-12
US-E-0082,United States,Power & Batteries,Portable Power Bank 20K,27.32,USD,"20000mAh, dual USB, 18W PD",Low stock alert | Nordic Wholesale | Bulk discount applies 15%
FR-F-0083,France,Computing,"Tablet 10""",187.47,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Margin 22% | Pacific Imports Inc | Fulfilled from NL depot
GH-G-0084,Ghana,Kitchen Appliances,Coffee Maker Drip,464.32,GHS,"12-cup, programmable, thermal carafe",Margin 22% | Pacific Imports Inc | Stock in WH3 Berlin
SA-H-0085,South Africa,Home Appliances,Electric Fan Tower,982.37,ZAR,"Oscillating, 3 speeds, remote, timer",Low stock alert | Margin 22% | Pacific Imports Inc
GE-I-0086,Germany,Kitchen Appliances,Smart Kettle Pro,47.09,EUR,"1.7L, 3000W, boil-dry protection, LED display",Nordic Wholesale | Margin 22% | Stock in WH3 Berlin
SA-J-0087,South Africa,Personal Care,Electric Toothbrush,755.26,ZAR,"Sonic, 3 modes, 2-week battery",Margin 22% | Stock in WH3 Berlin | Pacific Imports Inc
US-K-0088,United States,Lighting,LED Desk Lamp,29.35,USD,"Dimmable, USB port, 5 brightness levels",Pacific Imports Inc | Margin 22% | Low stock alert
FR-L-0089,France,Computing,Mechanical Keyboard,76.87,EUR,"Cherry MX, RGB, wired, UK layout",Acme Electronics Ltd | Target margin 18% | Backorder until 02/15
SA-M-0090,South Africa,Wearables,Fitness Tracker Band,597.49,ZAR,"Steps, sleep, HR, 14-day battery",Pacific Imports Inc | Bulk discount applies 15% | Warehouse A-12
CD-N-0091,Côte d'Ivoire,Audio,Wireless Bluetooth Earbuds,22344.89,XOF,"ANC, 24h battery, IPX5, USB-C",Fulfilled from NL depot | Pacific Imports Inc | VIP margin 25%
GH-O-0092,Ghana,TV & Display,LED TV 55 inch,6283.94,GHS,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Africa Direct Trading | Backorder until 02/15 | Margin 22%
FR-P-0093,France,Wearables,Smart Watch Sport,78.71,EUR,"GPS, heart rate, 5ATM, 7-day battery",VIP margin 25% | Global Sourcing Co | Fulfilled from NL depot
NE-Q-0094,Netherlands,Wearables,Fitness Tracker Band,30.38,EUR,"Steps, sleep, HR, 14-day battery",Stock in WH3 Berlin | Bulk discount applies 15% | Pacific Imports Inc
FR-R-0095,France,Wearables,Smart Watch Sport,90.53,EUR,"GPS, heart rate, 5ATM, 7-day battery",Africa Direct Trading | Fulfilled from NL depot | Bulk discount applies 15%
GE-S-0096,Germany,Computing,Mechanical Keyboard,65.88,EUR,"Cherry MX, RGB, wired, UK layout",Margin 22% | Pacific Imports Inc | Low stock alert
US-T-0097,United States,Audio,Bluetooth Speaker,51.92,USD,"20W, waterproof IPX7, 15h playback",Stock in WH3 Berlin | Pacific Imports Inc | Bulk discount applies 15%
UK-U-0098,United Kingdom,Home Appliances,Electric Fan Tower,42.64,GBP,"Oscillating, 3 speeds, remote, timer",Stock in WH3 Berlin | Nordic Wholesale | Target margin 18%
NI-V-0099,Nigeria,Power & Batteries,Portable Power Bank 20K,39987.13,NGN,"20000mAh, dual USB, 18W PD",Acme Electronics Ltd | Bulk discount applies 15% | Backorder until 02/15
US-W-0100,United States,Personal Care,Electric Toothbrush,42.44,USD,"Sonic, 3 modes, 2-week battery",Fulfilled from NL depot | Pacific Imports Inc | Target margin 18%
SA-X-0101,South Africa,Computing,Webcam HD Pro,1105.77,ZAR,"1080p 60fps, built-in mic, auto-focus",Global Sourcing Co | Margin 22% | Stock in WH3 Berlin
NI-Y-0102,Nigeria,Computing,"Tablet 10""",346324.19,NGN,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Africa Direct Trading | Stock in WH3 Berlin | VIP margin 25%
US-Z-0103,United States,Computing,Mechanical Keyboard,74.31,USD,"Cherry MX, RGB, wired, UK layout",Warehouse A-12 | EuroTech Suppliers | Bulk discount applies 15%
CD-A-0104,Côte d'Ivoire,Computing,"Tablet 10""",115470.94,XOF,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Stock in WH3 Berlin | Promo margin 12% | Global Sourcing Co
UK-B-0105,United Kingdom,Audio,Wireless Bluetooth Earbuds,27.12,GBP,"ANC, 24h battery, IPX5, USB-C",Global Sourcing Co | Fulfilled from NL depot | VIP margin 25%
KE-C-0106,Kenya,Wearables,Smart Watch Sport,12762.25,KES,"GPS, heart rate, 5ATM, 7-day battery",Nordic Wholesale | Backorder until 02/15 | VIP margin 25%
CA-D-0107,Canada,Computing,"Tablet 10""",288.46,CAD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",EuroTech Suppliers | Stock in WH3 Berlin | Bulk discount applies 15%
GE-E-0108,Germany,Computing,"Tablet 10""",175.01,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Bulk discount applies 15% | Global Sourcing Co | Stock in WH3 Berlin
US-F-0109,United States,Solar & Power,Solar Inverter TS-9000-X,1322.74,USD,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Low stock alert | Africa Direct Trading | Margin 22%
CA-G-0110,Canada,Kitchen Appliances,Coffee Maker Drip,49.56,CAD,"12-cup, programmable, thermal carafe",Low stock alert | VIP margin 25% | Acme Electronics Ltd
UK-H-0111,United Kingdom,Wearables,Smart Watch Sport,71.21,GBP,"GPS, heart rate, 5ATM, 7-day battery",Warehouse A-12 | Nordic Wholesale | Bulk discount applies 15%
GH-I-0112,Ghana,Power & Batteries,Portable Power Bank 20K,309.1,GHS,"20000mAh, dual USB, 18W PD",Margin 22% | Backorder until 02/15 | Nordic Wholesale
GE-J-0113,Germany,Personal Care,Electric Toothbrush,36.86,EUR,"Sonic, 3 modes, 2-week battery",Nordic Wholesale | Fulfilled from NL depot | Target margin 18%
GH-K-0114,Ghana,Computing,Webcam HD Pro,672.25,GHS,"1080p 60fps, built-in mic, auto-focus",Bulk discount applies 15% | Warehouse A-12 | Africa Direct Trading
NE-L-0115,Netherlands,Home Appliances,Air Purifier Compact,89.01,EUR,"HEPA H13, 3 speeds, 25m² coverage",VIP margin 25% | Nordic Wholesale | Warehouse A-12
NE-M-0116,Netherlands,Solar & Power,Solar Inverter TS-9000-X,1058.72,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Backorder until 02/15 | Africa Direct Trading | Promo margin 12%
KE-N-0117,Kenya,Kitchen Appliances,Coffee Maker Drip,4975.39,KES,"12-cup, programmable, thermal carafe",Warehouse A-12 | VIP margin 25% | Africa Direct Trading
CD-O-0118,Côte d'Ivoire,Computing,Mechanical Keyboard,50484.94,XOF,"Cherry MX, RGB, wired, UK layout",Stock in WH3 Berlin | Nordic Wholesale | Bulk discount applies 15%
NE-P-0119,Netherlands,Lighting,LED Desk Lamp,29.45,EUR,"Dimmable, USB port, 5 brightness levels",Backorder until 02/15 | Promo margin 12% | Africa Direct Trading
CA-Q-0120,Canada,TV & Display,LED TV 55 inch,660.79,CAD,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Warehouse A-12 | Promo margin 12% | Nordic Wholesale
CD-R-0121,Côte d'Ivoire,Power & Batteries,Portable Power Bank 20K,14622.39,XOF,"20000mAh, dual USB, 18W PD",VIP margin 25% | Stock in WH3 Berlin | Nordic Wholesale
CD-S-0122,Côte d'Ivoire,Personal Care,Electric Toothbrush,27898.42,XOF,"Sonic, 3 modes, 2-week battery",Bulk discount applies 15% | Warehouse A-12 | Nordic Wholesale
KE-T-0123,Kenya,Computing,Webcam HD Pro,8012.5,KES,"1080p 60fps, built-in mic, auto-focus",Margin 22% | Nordic Wholesale | Backorder until 02/15
NI-U-0124,Nigeria,Computing,Mechanical Keyboard,112914.42,NGN,"Cherry MX, RGB, wired, UK layout",Bulk discount applies 15% | Nordic Wholesale | Backorder until 02/15
SA-V-0125,South Africa,Lighting,LED Desk Lamp,501.63,ZAR,"Dimmable, USB port, 5 brightness levels",Acme Electronics Ltd | Fulfilled from NL depot | Promo margin 12%
FR-W-0126,France,Lighting,LED Desk Lamp,27.28,EUR,"Dimmable, USB port, 5 brightness levels",Stock in WH3 Berlin | Promo margin 12% | Global Sourcing Co
KE-X-0127,Kenya,Home Appliances,Electric Fan Tower,6664.08,KES,"Oscillating, 3 speeds, remote, timer",Target margin 18% | Global Sourcing Co | Warehouse A-12
FR-Y-0128,France,Computing,Mechanical Keyboard,77.98,EUR,"Cherry MX, RGB, wired, UK layout",Fulfilled from NL depot | Pacific Imports Inc | Margin 22%
KE-Z-0129,Kenya,Audio,Bluetooth Speaker,6665.81,KES,"20W, waterproof IPX7, 15h playback",Acme Electronics Ltd | Warehouse A-12 | Margin 22%
SA-A-0130,South Africa,Solar & Power,Solar Inverter TS-9000-X,22949.49,ZAR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Stock in WH3 Berlin | Promo margin 12% | Nordic Wholesale
SA-B-0131,South Africa,Wearables,Smart Watch Sport,1813.53,ZAR,"GPS, heart rate, 5ATM, 7-day battery",Backorder until 02/15 | Pacific Imports Inc | Promo margin 12%
GH-C-0132,Ghana,Wearables,Smart Watch Sport,1083.05,GHS,"GPS, heart rate, 5ATM, 7-day battery",Warehouse A-12 | Global Sourcing Co | VIP margin 25%
SA-D-0133,South Africa,Kitchen Appliances,Coffee Maker Drip,783.91,ZAR,"12-cup, programmable, thermal carafe",Pacific Imports Inc | Promo margin 12% | Backorder until 02/15
GH-E-0134,Ghana,Power & Batteries,Portable Power Bank 20K,301.23,GHS,"20000mAh, dual USB, 18W PD",Stock in WH3 Berlin | Promo margin 12% | Pacific Imports Inc
NI-F-0135,Nigeria,Lighting,LED Desk Lamp,45062.03,NGN,"Dimmable, USB port, 5 brightness levels",Acme Electronics Ltd | Low stock alert | VIP margin 25%
CD-G-0136,Côte d'Ivoire,Computing,Webcam HD Pro,33118.86,XOF,"1080p 60fps, built-in mic, auto-focus",Target margin 18% | Low stock alert | Africa Direct Trading
CA-H-0137,Canada,Kitchen Appliances,Smart Kettle Pro,60.73,CAD,"1.7L, 3000W, boil-dry protection, LED display",Pacific Imports Inc | Stock in WH3 Berlin | Bulk discount applies 15%
KE-I-0138,Kenya,Power & Batteries,Portable Power Bank 20K,3623.98,KES,"20000mAh, dual USB, 18W PD",Stock in WH3 Berlin | Acme Electronics Ltd | Bulk discount applies 15%
US-J-0139,United States,Power & Batteries,Portable Power Bank 20K,27.49,USD,"20000mAh, dual USB, 18W PD",Stock in WH3 Berlin | VIP margin 25% | Nordic Wholesale
CD-K-0140,Côte d'Ivoire,Home Appliances,Air Purifier Compact,54566.77,XOF,"HEPA H13, 3 speeds, 25m² coverage",Margin 22% | Warehouse A-12 | Acme Electronics Ltd
SA-L-0141,South Africa,Lighting,LED Desk Lamp,529.85,ZAR,"Dimmable, USB port, 5 brightness levels",Target margin 18% | Global Sourcing Co | Stock in WH3 Berlin
US-M-0142,United States,TV & Display,LED TV 55 inch,467.0,USD,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Margin 22% | Acme Electronics Ltd | Warehouse A-12
FR-N-0143,France,Kitchen Appliances,Coffee Maker Drip,39.75,EUR,"12-cup, programmable, thermal carafe",EuroTech Suppliers | Margin 22% | Warehouse A-12
NE-O-0144,Netherlands,Home Appliances,Electric Fan Tower,54.65,EUR,"Oscillating, 3 speeds, remote, timer",Low stock alert | Global Sourcing Co | Promo margin 12%
UK-P-0145,United Kingdom,Solar & Power,Solar Inverter TS-9000-X,1037.32,GBP,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",VIP margin 25% | Nordic Wholesale | Backorder until 02/15
KE-Q-0146,Kenya,Kitchen Appliances,Coffee Maker Drip,5231.75,KES,"12-cup, programmable, thermal carafe",Target margin 18% | Fulfilled from NL depot | EuroTech Suppliers
GH-R-0147,Ghana,Computing,Webcam HD Pro,789.57,GHS,"1080p 60fps, built-in mic, auto-focus",VIP margin 25% | EuroTech Suppliers | Fulfilled from NL depot
NI-S-0148,Nigeria,Kitchen Appliances,Smart Kettle Pro,74915.17,NGN,"1.7L, 3000W, boil-dry protection, LED display",Margin 22% | Low stock alert | Global Sourcing Co
CD-T-0149,Côte d'Ivoire,Solar & Power,Solar Inverter TS-9000-X,727729.46,XOF,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Stock in WH3 Berlin | Acme Electronics Ltd | VIP margin 25%
GH-U-0150,Ghana,Home Appliances,Air Purifier Compact,1213.24,GHS,"HEPA H13, 3 speeds, 25m² coverage",Low stock alert | Pacific Imports Inc | Margin 22%
FR-V-0151,France,Lighting,LED Desk Lamp,26.31,EUR,"Dimmable, USB port, 5 brightness levels",Acme Electronics Ltd | Fulfilled from NL depot | Bulk discount applies 15%
KE-W-0152,Kenya,Home Appliances,Electric Fan Tower,6502.95,KES,"Oscillating, 3 speeds, remote, timer",Bulk discount applies 15% | Warehouse A-12 | Acme Electronics Ltd
CA-X-0153,Canada,Wearables,Fitness Tracker Band,41.24,CAD,"Steps, sleep, HR, 14-day battery",Bulk discount applies 15% | Low stock alert | EuroTech Suppliers
